1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
溶解	溶解作用 
蒸餾	蒸餾 
雙硫鍵	二硫鍵
二硫化物	二硫化合物
二乙烯苯	二乙烯基苯
徳貝萊納	德貝萊納
多巴胺	多巴胺,羟酪胺
摻雜	摻雜 
劑量	劑量 
雙鍵	雙鍵 
當氏電解槽	道恩電解池
當氏法	道恩法
滴管	滴管
藥物	藥，藥品 
乾電池	幹電池
乾餾	幹餾 
延性	延性
染料	染料
有效碰撞	有效碰撞
逸散	溢出
愛因斯坦　 	愛因斯坦
電位	電位 
電化電池	電化電池
電極	電極 
電沈積過程	電沈積法
無電電鍍	非電解鍍層
電解	電解
電解質	電解質
電解槽	電解池
電解法	電解法
電解質解離說	電離理論
電磁轉動	電磁旋轉
電磁波	電磁波 
電動勢	電動勢 
電子	電子
電子親和力	電子親合勢
電子雲	電子雲 
電子組態	電子組態
電子海	電子海
電子殼層	電子殼層
電子自旋共振	電子自旋共振，ESR
電子點式	電子點式，電子式
電負度	電負性
電泳	電泳
電泳晶片	電泳芯片
電鍍	電鍍
電拋光	電抛光
電解精煉	電解精煉
元素	元素
元素分析	元素分析
脫去反應	消除反應 
發光層	發光層
恩培多克勒	恩培多克勒
實驗式	經驗式
乳液	乳狀液，乳液
終點	終點
內分泌幹擾物	內分泌幹擾物
吸熱反應	吸熱反應
能量效率比值	能源效率比值
能階	能級
烯醇	烯醇 
增濃因數	富集因子
焓	焓
環境荷爾蒙	環境激素
酶	酶
酶-受質複合物	酶-底物複合物
環氧樹脂	環氧樹脂
平衡常數	平衡常數 
平衡常數表示式	平衡常數表達式
平衡狀態	平衡狀態
當量點	當量點，等價點
酯化	酯化
酯類	酯類
乙醛	乙醛
乙烷	乙烷
乙二酸	草酸，乙二酸
乙酸	乙酸
乙醇	乙醇
乙烯	乙烯
醚類	醚類
乙酸乙酯	乙酸乙酯
甲酸乙酯	甲酸乙酯
硫酸氫乙酯	硫酸氫乙酯
甲基乙基醚	甲基·乙基醚
乙胺	乙胺；氨基乙烷
乙苯	乙苯
乙二醇	乙二醇 
乙二胺四乙酸根	乙二胺四乙酸鹽，EDTA4-
乙二胺四乙酸	乙二胺四乙酸; 乙底酸
乙炔	乙炔
真核生物	真核生物 
共熔體	共熔合金
優養化	富營養化
蒸發	蒸發
過量試劑	過量試劑
激發態	激發態
外氣層	外大氣層
放熱反應	放熱反應 
萃取	萃取 
艾苓	艾林
面心立方堆積	面心立方堆積
面心立方單位晶格	面心立方係單位晶格
族	族
法拉第	法拉第
法拉第電解第一定律	法拉第電解第一定律
法拉第電解定律	法拉第電解定律
法拉第電解第二定律	法拉第電解第二定律
脂肪	脂肪
脂肪酸	脂肪酸
f-區元素	ｆ區元素
斐林試液	斐林試液
飛秒化學	飛秒化學
飛秒	飛秒
纖維	纖維
過濾	過濾
終態	終態
第一遊離能	第一電離能
一級反應	一級反應
費雪　   	費希爾
分裂	裂變 
黃烷醇	黃烷醇 
泡沫	泡沫 
甲醛	甲醛
福馬林	福爾馬林
甲醯胺	甲酰胺
甲酸	甲酸,  蟻酸
式量	化學式量；分子量
正反應	正向反應 
化石燃料	化石燃料
分餾	分餾 
富蘭克林　 	富蘭克林
夫朗和斐	夫琅和費
凝固	凝固
凝固點	冰點，凝固點
氟氯烷	氟利昂
寡果醣	低聚果糖
果糖	果糖
燃料電池	燃料電池
富勒烯	富勒烯
官能基	官能團
核融合	聚變，熔融
半乳寡醣	低聚半乳糖
半乳糖	半乳糖
方鉛礦	方鉛礦 
賈法尼	加爾瓦尼
賈法尼電池	原電池 
鍍鋅鐵	鍍鋅鐵
甘莫林　  	甘末林
氣體	氣體
氣體常數	氣體常數
氣體放電管	氣體放電管
氣態	氣態
給呂薩克	蓋·呂薩克
凝膠	凝膠
凝膠電泳	凝膠電泳
幾何異構物	幾何異構體
巨富勒烯	巨富勒烯
冰醋酸	冰醋酸；冰乙酸
玻璃	玻璃
葡萄糖	葡萄糖 
膠	膠，膠水
似膠　	似膠
麩胺酸　 	谷氨酸 
甘油	甘油
三硝酸甘油酯	三硝酸甘油酯
三油酸甘油酯	三油酸甘油酯
三硬脂酸甘油酯	三硬脂酸甘油酯
甘胺酸	甘氨酸
肝醣	糖原
乙醇酸 	乙醇酸
古依	古伊
格雷姆	格雷姆
格雷姆擴散定律	格雷姆擴散定律
格雷姆逸散定律	格雷姆逸散定律
克原子	克原子
克分子	克分子
石墨	石墨 
綠色化學{永續化學}	綠色化學
溫室效應	溫室效應
基態	基態
族	族，基
格羅夫　    	格魯夫
鳥嘌呤　 	鳥嘌呤
哈柏	哈伯
哈柏法	哈柏法
哈柏-波希法	哈伯-博斯法
半滿　 	半充滿
半電池	半電池
半電池電位	半電池電位
半生期	半衰期
半反應法　 	半反應法
霍爾	霍爾
霍爾法{煉鋁}	霍爾法
鹵素	鹵素
鹵化	鹵化
鹵烴類	鹵代烴
海龍　 	鹵代烷
鹵神	氟烷
硬性清潔劑	硬性洗滌劑
硬水	硬水
硬化過程　  	硬化過程；硬化法
豪普特曼　  	豪普特曼
哈瓦司式	哈瓦司＜化學＞式
燃燒熱	燃燒熱
生成熱	生成熱
熔化熱	熔化熱
反應熱	反應熱 
汽化熱	汽化熱 
熱值	熱值
加熱曲線	加熱曲線
熱值	熱值
重金屬	重金屬
氦	氦
螺旋形　	螺旋
原血紅素	血紅素
血紅素	血紅蛋白 
亨利	亨利
亨利定律	亨利定律
海洛因	海洛因
赫休巴赫	赫施巴克
赫斯	赫斯
赫斯定律　	赫斯定律
不勻相的	不均勻的，非均勻的
不勻合金	多相合金
不勻混合物　 	非均勻混合物
不勻反應　 	多相反應
不勻係	非均相係統
異核雙原子分子　　　	異核雙原子分子
六方最密堆積	六方密堆積 
氫氟碳化物	氫氟碳化物
白川英樹　  	白川英樹
高密度聚乙烯	高密度聚乙烯
組蛋白　 	組蛋白
何夫曼	霍夫曼
勻相的	同質的
勻相混合物	均勻混合物
勻相反應 	均相反應 
同核雙原子分子　　	同核雙原子分子
同元聚合物	均聚物
休克耳	休克爾
洪德	洪德
洪德定則	洪德定則
混合物	雜交體,雜合體
油電混合車　   	油電混合動力車
混成軌域	雜化軌道 
混成　	雜化
氫酸	氫酸
烴	碳氫化合物
氫氯酸	鹽酸
氫氟碳化物	氫氟碳化物
氫	氫 
氫鍵	氫鍵
氫離子	氫離子
氫化	氫化 
水解	水解
水解反應	水解反應
鋞離子	水合氫離子
親水性	親水的,親水性
疏水性	疏水的，疏水性
氫醌	氫醌 
氫氧離子	氫氧離子
羥基	羟基
羥丙基甲基纖維素	羟丙基甲基纖維素
冰卡計　  	冰卡計
理想氣體	理想氣體
