1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
自動重合裝置	自動重合閘裝置
自動控制設備	自動控制裝置
自動負載恢復設備	自動負荷恢複裝置
自發分裂	自發裂變
自發傳輸	自發傳輸
熔線插頭溢洪道	自潰壩
飽和並聯電抗器	自飽和並聯電抗器
進行波	行波
進行波保護	行波保護
行近速度	行近流速
西門子（國際電導單位	西
價格上限監管法	價格上限監管法
公開價格聽證	價格聽證
價格指數監管法	價格指數監管法
價格變動保證金	價格變動保證金
價格監管	價格監管
價格邊際成本指數	價格邊際成本指數
異步起動	異步啓動
非同步電動機的效率	異步電動機的效率
非同步電動機堵轉視在功率	異步電動機堵轉視在功率
非同步電動機起動轉矩	異步電動機啓動轉矩
非同步電動機運轉性能	異步電動機運行性能
非同步電動機運轉特性	異步電動機運行特性
非同步運算	異步運行
定子機座振動隔離	機座隔振
機械式制動設備	機械制動器
機械採樣	機械采樣
機械搖動洗煤	機械振動布袋清灰
機械效率	機械效率
機械液壓調速器	機械液壓調速器
機械通風冷卻塔	機械通風冷卻塔
機械離心式調速器	機械離心式調速器
機械耐久性試驗	機械壽命試驗
機械攜帶	機械攜帶
機械雜質	機械雜質
短路機械穩定性	機械穩定性
汽輪機閘墩	機墩
機電型保護裝置	機電型繼電保護裝置
主軸磁化	機組主軸磁化
機組技術資料	機組技術數據
機組性能計算	機組性能計算
機組性能試驗	機組性能試驗
機組起停時間	機組啓停時間
機組慣性常數	機組慣性常數
機組經濟運轉參數	機組經濟運行參數
機組運轉模式	機組運行方式
機組最佳化運轉指導	機組運行優化指導
機組頻率靜特性	機組頻率靜特性
機艙	機艙
網目	網孔
網目電流	網孔電流
網狀係統	網格係統
傳輸損失	網損
損失因數	網損係數
輸電損失計算	網損計算
網路	網絡
網路安全校核	網絡安全校核
網路安全約束	網絡安全約束
串聯繞組	串勵繞組
串級電力頻率試驗用變壓器	串級工頻試驗變壓器
串級高電壓直流產生器	串級直流高壓發生器
串聯連接	串聯
串聯電抗啟動	串聯電抗啓動
串聯繞組	串聯繞組
串聯補償	串聯補償
串聯諧振	串聯諧振
串聯諧振試驗裝置	串聯諧振試驗裝置
亨（利）（電感單位）	亨
位移電流	位移電流
高程水頭	位置水頭
熱追蹤	伴熱
補助機構	伺服係統
伺服電動機	伺服電動機
伸縮元件	伸縮節
作業距離	作業距離
工作間距	作業淨距
谷負載	低谷負荷
低中子洩漏更換燃料核心	低泄漏堆芯
油事故跳脫	低油壓保護
低勵及失磁運行	低勵及失磁運行
配電線	低壓線路
低壓繞組	低壓繞組
低電壓保護	低電壓保護
熱回收鍋爐	余熱鍋爐
熱回收鍋爐接近點溫差	余熱鍋爐接近點溫差
熱回收鍋爐節點溫差	余熱鍋爐節點溫差
克爾效應	克爾效應
冷卻關機	冷停堆
爐底灰鬥	冷灰鬥
油冷卻器	冷油器
爐底渣冷卻器	冷渣器
冷源	冷源
冷卻劑	冷卻介質
冷卻池	冷卻池
冷卻表面積	冷卻面積
冷卻速度	冷卻倍率
冷卻停機 	冷卻停機
冷卻塔	冷卻塔
冷卻塔工作	冷卻塔工程
冷備用備轉容量	冷備用
冷態啟動	冷態啓動
決定回饋傳輸	判決反饋傳輸
利用時間	利用小時數
否定認可	否定認可
警報	告警
吹灰	吹灰
吹灰器	吹灰器
淨化	吹洗
清除率	吹掃風量
吸上高度	吸上高度
吸上高度	吸出高度
吸收比	吸收比
吸收率	吸收率
吸收劑量	吸收劑量
吸聲降噪	吸聲降噪
蓄水層	含水層
含沙量	含沙量
廢物含量	含矸率
坍落度	坍落度
均勻結冰負載	均布冰荷載
均壓環	均壓環
均衡器	均壓線
均質土壩	均質土壩
燭光	坎
局部放電	局部放電
局部放電重複率	局部放電重複率
局部放電起始電壓	局部放電起始電壓
局部放電超音波偵測定位法	局部放電超聲定位法
局部放電量	局部放電量
局部放電熄滅電壓	局部放電熄滅電壓
局部放電檢測儀	局部放電檢測儀
局部等電位連接	局部等電位連接
局部轉速不等率	局部轉速不等率
尾水廊道	尾水廊道
尾水渠	尾水渠
尾水管	尾水管
尾水管肘管	尾水管肘管
尾水隧洞	尾水隧洞
尾水調壓室	尾水調壓室
尾水閘門	尾水閘門
尾流效應損失	尾流效應損失
擋板門檻	尾檻
床沙質	床沙質
爐膛壓力差控制係統	床壓控制係統
爐膛溫度控制係統	床溫控制係統
形變熱處理	形變熱處理
役前檢查	役前檢查
高速中子	快中子
快反應器轉換區	快中子堆轉換區
快中子反應器鈉防火係統	快中子堆鈉火消防係統
快滋生反應器	快中子增殖反應堆
高速中子增殖因數	快中子增殖因數
快中子增殖反應器燃料組合	快中子增殖堆燃料組件
快速自動復閉	快速自動重合
快速型氮氧化物	快速型氮氧化物
快速接地開關	快速接地開關
快速響應激磁	快速勵磁
快速反應型無效功率補償器	快速調節型無功補償裝置
快速閘門	快速閘門
抗張強度	抗拉強度
抗氧化劑	抗氧化劑
抗磁性	抗磁性
反磁質	抗磁性物質
技術支援中心	技術支持中心
技術規範	技術規格書
扭曲葉片(沖擊式水輪機的)	扭曲挑坎
扭葉片	扭葉片
（一）塊	批
批發競爭模式	批發競爭模式
偏轉板	折向器
折射係數	折射係數
折射波	折射波
投資回收率監管法	投資回報率監管法
材料檢驗熱實驗室	材料檢驗熱實驗室
（電）桿	杆
桿塔偏移	杆塔偏移
基礎	杆塔基礎
杆塔撓度	杆塔撓度
每吸收的中子產率	每次吸收的中子産額
汞弧閥	汞弧閥
沈井	沈井
沈降灰	沈降灰
沈降縫	沈降縫
淤渣	沈渣
氣壓沈箱	沈箱
沈積	沈積物
汽化壓力	汽化壓力
汽水分離	汽水分離
汽水分離	汽水分層
汽水共騰	汽水共騰
壓力降	汽水阻力
汽水管道	汽水管道
汽水管道附件	汽水管道附件
管路設計	汽水管道設計
汽水兩相流	汽水兩相流
內部沈積物	汽水側沈積物
汽冷旋風分離器	汽冷旋風分離器
汽缸校正	汽缸找正
水輪機汽缸凸緣面變形修理	汽缸法蘭結合面變形處理
汽缸的配置	汽缸的配置
汽缸裂紋修理	汽缸裂紋處理
汽缸螺栓熱緊	汽缸螺栓熱緊
汽輪機驅動給水泵	汽動給水泵
汽溫控制	汽溫調節
淨正引水水頭	汽蝕余量
蒸氣（渦）輪機	汽輪機
汽輪機本體	汽輪機本體
汽輪機自動起動或關機控制係統	汽輪機自啓停控制係統
汽輪機汽缸	汽輪機汽缸
汽輪機定期運轉試驗	汽輪機定期運行試驗
汽輪機油	汽輪機油
汽輪機油係統	汽輪機油係統
汽輪機保護係統	汽輪機保安係統
汽輪機背壓控制係統	汽輪機背壓控制係統
汽輪機初期起動	汽輪機首次通汽啓動
汽輪機旁路係統	汽輪機旁路係統
汽輪機關機	汽輪機停運
汽輪機控制係統	汽輪機控制係統
汽輪機流量通道	汽輪機通流部分
汽輪機超速試驗	汽輪機超速試驗
汽輪機滑參數啟停	汽輪機滑參數啓停
淨熱耗率	汽輪機淨熱耗率
汽輪發電機振動	汽輪機-發電機組振動
汽輪機-發電機組熱效率	汽輪機-發電機組熱效率
汽輪機-發電機組軸係	汽輪機-發電機組軸係
汽輪機葉片振動強度安全準則	汽輪機葉片振動強度安全準則
汽輪機起動特性曲線	汽輪機啓動特性曲線
汽輪機熱應力監控係統	汽輪機熱應力監控係統
汽輪機級內損失	汽輪機級內損失
汽輪機調速器	汽輪機調速器
汽輪機調速係統	汽輪機調節係統
汽輪機轉子	汽輪機轉子
汽輪機進汽部分	汽輪機進汽部分
汽輪發電機	汽輪發電機
私有信息	私有信息
係統同步運行	係統同步運行
係統和組件的可靠性設計	係統和部件的可靠性設計
係統抽樣	係統抽樣
係統相關停電	係統相關停運
係統最高運轉電壓	係統最高運行電壓
係統黑啟動容量	係統黑啓動容量
係統黑啟動發電機	係統黑啓動發電機
係統需量控制	係統需量控制
單線圖	係統單線圖
係統參數	係統參數
係統標稱電壓	係統標稱電壓
係統狀態變數	係統狀態變量
係統穩定計算	係統穩定計算
電力係統穩態	係統穩態
係統運行方式	係統運行方式
電力係統調度機構	係統運行機構
係統運轉電壓	係統運行電壓
電力係統運轉連接規劃	係統運行結線方式
係統連接方式	係統連接方式
係統間故障	係統間故障
角頻	角頻率
谷值	谷值
量測防止事故設備	防止設備事故措施
防垢處理	防垢處理
防洪庫容	防洪庫容
振動阻尼器	防振錘
防浪牆	防浪牆
防喘裝置	防喘裝置
凝渣管	防渣管
防凍措施	防凍措施
保護衣物	防護衣具
防滲	防滲
防滲面板	防滲面板
防滲帷幕	防滲帷幕
防進水保護	防進水保護
防靜電接地	防靜電接地
體電荷密度	體電荷密度
體積比熱	體積比熱
氙中毒	氙中毒
氙振盪	氙振蕩
事件序列	事件序列
事件導向緊急事故操作程序	事件導向應急操作規程
事故後運轉計畫	事故後運行方式
事故追憶	事故追憶
緊急電源供應	事故備用電源
事故檢修	事故檢修
緊急閘門	事故閘門
供水係統	供水係統
供暖熱負載	供暖熱負荷
核加熱反應器	供熱反應堆
供熱係統	供熱係統
供熱 費率	供熱電價
電源	供電
供電方式	供電方式
總供電可靠率	供電可靠率
淨煤炭消耗率	供電煤耗率
供電熱效率	供電熱效率
供電熱耗率	供電熱耗率
供電狀態	供電狀態
電源電壓	供電電壓
供電品質	供電質量
供電連續性判據	供電連續性判據
雜項成本	其他費用
典型年	典型年
刮板給煤機	刮板給煤機
製粉係統冷態風平衡試驗	制粉係統冷態風平衡試驗
煤粉準備係統爆炸	制粉係統爆炸
製粉係統功率消耗	制粉電耗
螺旋纏繞的反滲透膜元件	卷式反滲透膜元件
卷揚式吊車	卷揚式啓閉機
迴轉	卷積
卷線機	卷線機
取（地表）水設施	取水設施
取水構築物	取水構築物
取水構築物施工	取水構築物施工
取地下水設施	取地下水設施
受阻容量	受阻容量
控流電流源	受控電流源
受控電壓源	受控電壓源
接收端係統	受端係統
受熱面積	受熱面
旋轉轉子空氣加熱器	受熱面回轉式空氣預熱器
可工作性	和易性
周期	周期
儀器週期校準百分率	周期檢驗率
周調節	周調節
周負載曲線	周負荷曲線
熟化	固化
固有安全	固有安全
固有頻率	固有頻率
固體燃料鍋爐	固體燃料鍋爐
固定式氣渦輪機	固定式燃氣輪機
固定式鍋爐	固定式鍋爐
固定電接觸	固定電接觸
固定費用	固定費用
固相	固相
城市固體廢棄物發電 	垃圾發電
垃圾燃燒式電廠	垃圾電廠
夜間檢驗	夜間巡視
奈培（ 衰減單位）	奈培
孤立電力係統	孤立係統
孤立熱力係統	孤立熱力係
孤立電廠	孤立電廠
孤立運轉	孤立運行
季節性電能	季節性電能
季節性電價	季節電價
季節性調整	季調節
季節性運轉計畫	季運行方式
定、轉子繞組絕緣電阻測量	定、轉子繞組絕緣電阻測量
定子（繞組）電阻	定子電阻
定子冷卻水電導率計	定子冷卻水電導率計
定子接地保護	定子接地保護
定子短時過電流	定子短時過電流
定子端部繞組匝間短路	定子端部繞組匝間短路
定子端部繞組振動	定子端部繞組振動
定子端部繞組絕緣磨損	定子端部繞組絕緣磨損
定子槽部份放電監測器	定子槽放電監測器
氫近水洩漏監測器	定子內冷水含氫量監測器
定子測圓架	定子測圓架
定子線棒	定子線棒
焊接接頭故障	定子線棒接頭開焊
定子線棒導線斷股	定子線棒導線斷股
定子繞組	定子繞組
定子繞組直流耐壓試驗和洩漏電流試驗	定子繞組直流耐壓試驗和泄漏電流試驗
定子繞組端部振動監測器	定子繞組端部振動監測器
定子繞組端部模態及固有振動頻率測定	定子繞組端部模態及固有振動頻率測定
定子繞組絕緣故障	定子繞組絕緣故障
定子鐵心機座振動監測器	定子鐵心機座振動監測器
定子鐵心和機座振動測定	定子鐵心和機座振動測定
定子鐵心損失及溫度上升試驗	定子鐵心的損耗發熱試驗
鐵心疊片振動聲頻監測器	定子鐵心疊片振動聲頻監測器
定體積比熱	定體積比熱
定型方式	定型模板
定相同步試驗	定相同步試驗
定期檢驗	定期巡視
定期排汙	定期排汙
定量金相技術	定量金相技術
定壓比熱	定壓比熱
改良滑壓運作	定壓-滑壓複合運行
定壓運轉	定壓運行
定時列印	定時打印
定時繼電器	定時限繼電器
螺旋槳運轉情況	定槳工況
定節距	定槳距
定轉速轉子	定轉速風輪
滾輪閘門	定輪閘門
模方	定額
屈服強度	屈服強度
居民生活電價	居民生活電價
居民區	居民區
岸邊水泵房	岸邊水泵房
岸邊式廠房	岸邊式廠房
岸邊式取水	岸邊式取水
岩體原位測試設備	岩體原位觀測
岩體結構	岩體結構
岩體軟弱結構面	岩體軟弱結構面
岩體風化	岩體風化
岩基	岩基
岩基處理	岩基處理
岩塞爆破	岩塞爆破
岩壁式吊車樑	岩壁式吊車梁
岩爆	岩爆
延時自動重合	延時自動重合
弧後電流	弧後電流
弧形閘門	弧形閘門
弛度	弧垂
弧垂觀測	弧垂觀測
弧接觸	弧觸頭
收縮	承包合同
壓力邊界	承壓邊界
壓力邊界完整性監視	承壓邊界完整性監督
拉普拉斯逆變換	拉普拉斯逆變換
拉普拉斯變換	拉普拉斯變換
拉筋線	拉筋
拉線	拉線
V 型拉線塔	拉線V型塔
拉線棒	拉線棒
錨	拉線盤
拉線門型塔	拉線門型塔
招標投標係統	招投標制
消弧角	招弧角
水泵運轉模式	抽水工況
抽水蓄能機組	抽水蓄能機組
抽水蓄能電廠	抽水蓄能電站
抽水蓄能電站上池防滲	抽水蓄能電站上池防滲
萃取蒸汽係統	抽汽係統
抽汽逆止閥	抽汽逆止閥
抽空氣係統	抽空氣係統
煙道氣抽風機	抽爐煙風機
拍	拍
差頻	拍頻
懸臂扒桿	抱杆
放大器	放大器
放射性	放射性
放射性中子源	放射性中子源
放射性氣溶膠	放射性氣溶膠
放射性同位素	放射性同位素
放射性汙染	放射性汙染
放射性固體廢物	放射性固體廢物
放射性固體廢物處理	放射性固體廢物處理
放射性流出物	放射性流出物
放射性流出物監測	放射性流出物監測
放射性核素遷移	放射性核素遷移
放射衰變	放射性衰變
放射性廢氣處理	放射性廢氣處理
放射性廢物	放射性廢物
放射性廢物固化	放射性廢物固化
放射性廢物最小化	放射性廢物最小化
放射性廢物現場儲存	放射性廢物就地儲存
放射性廢物焚燒	放射性廢物焚燒
放射性廢料處置	放射性廢物處置
放射性廢液處理	放射性廢液處理
電暈極	放電極
滑車組	放線滑輪
明挖法施工	明挖法施工
明渠導流	明渠導流
板形燃料組合	板形燃料組件
板樁	板樁
緩衝管	松套管
鬆動零件監測係統	松動件監測係統
鬆動爆破	松動爆破
注油器	注油器
注漿堵水技術	注漿堵水技術
沈澱物模型試驗	泥沙模型試驗
泥沙磨損	泥沙磨損
河床式廠房	河床式廠房
河床式水電站	河床式水電站
河床式取水	河床式取水
河流水力發電開發規劃	河流水電開發規劃
河流泥沙	河流泥沙
河流階地	河流階地
河勢	河勢
生質物氣體	沼氣
沼氣池	沼氣池
沼氣厭氧消化	沼氣厭氧發酵
波尾截斷衝擊波	波尾截斷沖擊波
波浪發電	波浪發電
波頭截斷衝擊波	波頭截斷沖擊波
波導	波導
波節	波節
波長	波長
法拉（電容單位）	法
法拉第定律	法拉第定律
法拉第效應	法拉第效應
沸騰	沸騰
沸騰熱傳遞	沸騰換熱
洩水閘建築物原型觀測	泄水/泄洪建築物原型觀測
洩水涵管	泄水管道
動輪洩水錐	泄水錐
洩油池	泄油池
滲漏測試器	泄流計
放電容量	泄量
油中水分	油中水分
油中含氣量	油中含氣量
油中顆粒度	油中顆粒度
油 -SF6 浸式套管	油氣套管
油再生	油再生
油汙水處理	油汙水處理
油位指示器	油位指示器
油係統故障	油係統故障
油係統清洗	油係統清洗
絕緣油氣化性質	油析氣性
油浸變壓器	油浸式變壓器
油浸式電抗器	油浸式電抗器
油浸紙套管	油浸紙套管
油浸紙絕緣電纜	油浸紙絕緣電纜
油箱 	油箱
油箱排氣裝置	油箱排氣裝置
油膜振盪	油膜振蕩
油燃燒器	油燃燒器
油淨化	油淨化
油淨化裝置	油淨化裝置
油務監督	油務監督
液壓伺服馬達	油動機
油壓供應裝置	油壓裝置
油斷路器	油斷路器
油老化	油質老化
瀝青頁岩	油頁岩
沿面放電	沿面放電
摩擦損失耗能	沿程消能工
泡沫共騰	泡沫共騰
核沸騰	泡核沸騰
爬行距離	爬距
阿立馬克風動爬罐	爬罐
爬電比距	爬電比距
實體輸電權	物理輸電權
項目	物項
直（平）流式配風器	直流式配風器
直立式閘室	直立式閘室
直吹式製粉係統	直吹式制粉係統
直流分量	直流分量
直流匯流排避雷器	直流母線避雷器
貫流式冷卻水係統	直流冷卻水係統
直流事故潤滑油泵	直流事故潤滑油泵
直流阻尼回路	直流阻尼電路
高電壓直流發電機	直流高壓發生器
直流煤粉燃燒器	直流煤粉燃燒器
直流衝擊電容器	直流沖擊電容器
直流斷路器	直流斷路器
直流濾波器	直流濾波器
直流電抗器	直流電抗器
直流	直流電流
直流比流器	直流電流互感器
正向電壓	直流電壓
直流線路故障定位裝置	直流線路故障定位裝置
高壓直流輸電係統保護	直流輸電係統保護
直流過電流保護	直流過電流保護
貫流式鍋爐	直流鍋爐
貫流式鍋爐調變控制係統	直流鍋爐模擬量控制係統
電纜直埋敷設	直埋敷設
直達日射儀	直射輻射表
直接空冷係統	直接幹式冷卻係統
直接法	直接法
直葉片	直葉片
中間支柱	直線杆塔
線性電動機	直線電動機
直軸	直軸
直軸次暫態電抗	直軸超/次暫態電抗
直軸暫態電抗	直軸暫態電抗
社會環境	社會環境
空隙現象	空化
空化裕度	空化余度
孔蝕係數	空化係數
空化模式試驗	空化試驗
空心葉片	空心葉片
空心導體	空心導線
空-水冷卻發電機	空-水冷卻發電機
空氣乾燥基 	空氣幹燥基
空氣分級	空氣分級
空氣冷卻器	空氣冷卻器
空氣冷卻區	空氣冷卻區
標準大氣狀態	空氣的標準狀態
空氣密度校正因數	空氣密度校正係數
氣動制動器	空氣動力刹車
濕度修正因數	空氣濕度校正係數
空氣過濾器	空氣過濾器
空氣預熱器	空氣預熱器
空噴射閥	空注閥
空-空冷卻發電機	空-空冷卻發電機
空腹壩	空腹壩
空蝕	空蝕
空載運轉試驗	空負荷試運行
空轉速度	空負荷轉速
空轉	空轉
空載特性的測定	空載特性的測定
無載損失	空載損耗
無載電流	空載電流
太空核推進動力裝置	空間核推進動力裝置
太空核動力	空間核電源
空間熱輻射器	空間輻射散熱器
肯定認可	肯定認可
轉扣	花籃螺絲
內鐵型變壓器	芯式變壓器
初步可行性研究	初步可行性研究
初始保證金	初始保證金
初始反應器核心	初始堆芯
起始情況	初始條件
初期發電水位	初期發電水位
初級中子源組件	初級中子源組件
一次繞組	初級繞組
表面式加熱器	表面式加熱器
表面式凝汽器	表面式凝汽器
表面汙染監測儀	表面汙染監測儀
表面沸騰	表面沸騰
表面處理	表面處理
表格法	表格法
表壓	表壓力
復歸比率	返回係數
返回資訊	返回信息
返回時間	返回時間
近地表處置	近地表處置
近海風電場	近海風電場
近發電機短路	近端短路
採石場	采石場
採暖通風和空氣調節	采暖通風和空氣調節
取樣，抽樣	采樣
取樣儀器	采樣工具
採樣元件	采樣元件
抽樣周期	采樣周期
取樣器	采樣器
採樣單元	采樣單元
抽樣頻率	采樣頻率
接頭（活節）	金具
金屬化學熱處理	金屬化學熱處理
金屬化電容器	金屬化電容器
金屬回線	金屬回線
金屬性能	金屬性能
完全短路	金屬性短路
金屬封閉開關設備和控制設備	金屬封閉開關設備和控制設備
金屬硬度	金屬硬度
金屬催化劑	金屬催化劑
碳化物分析	金屬碳化物分析
金屬箔電容器	金屬箔電容器
金屬燃料	金屬燃料
金屬熱處理	金屬熱處理
電子微觀檢驗	金屬電子顯微技術
金屬監督	金屬監督
金屬結構安裝	金屬結構安裝
阻尼振盪	阻尼振蕩
阻尼繞組	阻尼繞組
阻尼間隔棒	阻尼間隔棒
阻抗	阻抗
阻抗元件	阻抗元件
阻抗匹配	阻抗匹配
阻抗保護	阻抗保護
阻抗模數	阻抗模
阻抗電壓（在額定電流下）	阻抗電壓
阻抗電驛	阻抗繼電器
電阻-電容分壓器	阻容分壓器
抗流極限	阻塞極限
阻塞盈餘	阻塞盈余
阻塞管理	阻塞管理
阻塞費用	阻塞費用
附加損耗	附加損耗
輔助繞組	附加繞組
附加絕緣	附加絕緣
雨季施工	雨季施工
非一致性峰值法	非一致性分攤方法
非正弦週期量	非正弦周期量
斷相運轉	非全相運行
非自恢復絕緣	非自恢複絕緣
不均勻冰負載	非均布冰荷載
照明電價表	非居民照明電價
非居民區	非居民區
非居民區	非居住區
非法投機行為	非法投機行爲
離峰電價	非峰時電價
非核蒸汽起動試驗	非核蒸汽沖轉試驗
非破壞性試驗	非破壞性絕緣試驗
被動安全係統	非能動安全係統
被動部分	非能動部件
非單元式保護	非單元式保護
非壓縮型安裝	非壓縮型金具
非導電環境	非導電環境
非彈性散射	非彈性散射
非損壞性故障	非損壞性故障
非競價機組	非競價機組
非競爭能量	非競爭電量
非線性電路	非線性電路
臨時維護	非計劃性維修
非計畫停電	非計劃停運
非計劃停電時	非計劃停運小時
非計劃停電次數	非計劃停運次數
非計劃停電因數	非計劃停運係數
非計劃停電狀態	非計劃停運狀態
消力戽消能	戽鬥消能
極化指數	極化指數
極化電流	極化電流
極化電驛	極化繼電器
極熱態起動	極熱態啓動
極電流平衡	極電流平衡
亮度溫度	亮度溫度
資訊不對稱	信息不對稱
資訊回饋傳輸	信息反饋傳輸
資訊披露	信息披露
資訊容量	信息容量
資訊丟失率	信息丟失率
資訊傳送效率	信息傳送效率
資訊傳送率	信息傳送率
資訊發佈更新時間	信息發布更新時間
信號回路	信號回路
信號器	信號器
信號繼電器	信號繼電器
信號品質檢測	信號質量檢測
緊急電源供應	保安電源
保持命令	保持命令
機密資訊	保密信息
保梯電抗	保梯電抗
保護火花間隙	保護間隙
複合保護與中性導管	保護中性導體
保護元件	保護元件
保護電流互感器	保護用電流互感器
保護比壓器	保護用電壓互感器
保護係統運轉率	保護係統投入率
遮蔽角	保護角
保護金具	保護金具
保護範圍	保護範圍
保護重疊區	保護重疊區
保護接地	保護接地
保護導體	保護導體
保護電阻器	保護電阻器
保護裝置的保護水準	保護裝置的保護水平
隔熱	保溫
保溫和防凍	保溫和防凍
熱絕緣施工	保溫施工
保溫混凝土	保溫混凝土
保溫箱	保溫箱
保證輸出	保證出力
邊際規則	保證金制度
尖峰負載削峰	削峰填谷
前泄壓力	前泄壓力
增壓泵	前置泵
哈氏可磨性指數	哈氏可磨性指數
垂直上升管屏	垂直上升管屏
垂直升船機	垂直升船機
垂直排列	垂直排列
垂直負載試驗	垂直荷載試驗
垂直壟斷模式	垂直壟斷模式
垂直煙道	垂直煙道
垂直軸轉子	垂直軸風輪
型面損失	型面損失
垢下腐蝕	垢下腐蝕
市區電力網路規劃	城市電網發展規劃
金屬封閉母線	封閉母線
屏式過熱器	屏式過熱器
屏蔽箱	屏蔽工作箱
屏蔽室	屏蔽室
加套泵	屏蔽泵
屏蔽環	屏蔽環
建造廠址條件	建廠條件
弧絡率 ,建弧率	建弧率
待積有效劑量	待積有效劑量
待積當量劑量	待積當量劑量
急性放射性疾病	急性放射病
超臨界流	急流
挖方工程量	挖方工程量
低壓自動減載	按電壓降低自動減負荷
按需求傳輸	按請求傳輸
按係統邊際價格結算	按邊際價格結算
斷裂韌性	持久塑性
斷裂壽命強度	持久強度
持水度	持水度
持續命令	持續命令
持續資訊	持續信息
指示命令 	指示命令
指數法	指數法
拱壩周邊接頭	拱壩周邊縫
倒裝水桶	挑坎
鉤	挂鈎
故障位置測定器	故障定位器
故障阻抗	故障阻抗
故障相	故障相
失效率	故障率
故障區段	故障區段
故障示波器	故障錄波器
故障點	故障點
故障電流	故障電流
建設工業化	施工工廠化
施工工廠設施	施工工廠設施
施工坑道	施工支洞
施工計劃	施工方案
施工供電	施工供電
施工材料供應計畫	施工物資供應計劃
施工臨界路徑排程	施工控制性進度
施工期防洪	施工期防汛
施工期通航	施工期通航
施工程序	施工程序
施工臨時設施	施工臨時設施
施工現場交通	施工場內交通
施工接頭	施工縫
施工規格	施工規範
星-三角起動	星-三角啓動
星形接法	星形聯結
柱上配電臺	柱上配電台
柱上隔離開關	柱上隔離開關
柱上變壓器	柱上變壓器
柱上斷路器	柱上斷路器
棱柱形高溫氣冷反應器	柱狀型高溫氣冷堆
電纜架與壁間水平間距	架與壁間水平淨距
架空係統	架空係統
架空線	架空線路
架空線路保護區	架空線路保護區
架空輸電線路絕緣水準	架空輸電線路絕緣水平
架空導線與接地線安裝	架線施工
電纜架間水平間距	架間水平淨距
枯水年	枯水年
洪水	洪水
洪水調節	洪水調節
流明（光束單位）	流
液化床	流化床
流化床點火裝置	流化床點火裝置
流體	流體
流體力學	流體力學
流體質點	流體質點
流體運動學	流體運動學
流注放電	流注放電
流域水能開發	流域水能開發
流域規劃	流域規劃
速度分布	流速分布
流程數	流程數
流量	流量
流動沸騰	流動沸騰
流量壓降	流動壓降
流量場	流場
流線	流線
活斷層	活斷層
派克方程	派克方程
玻璃絕緣器	玻璃絕緣子
界面張力	界面張力
省煤器	省煤器
相量	相量
相	相
相位比較式保護係統	相位比較式縱聯保護
相位比較繼電器	相位比較繼電器
相（位）差	相位差
相位常數	相位常數
相位控制	相位控制
相移	相位移
相（位）速（度）	相速
相量圖	相量圖
相對地淨距	相對地淨距
相對地過電壓標麽值	相對地過電壓標幺值
相對死點	相對死點
相對滲透率	相對磁導率
相對濕度	相對濕度
相對電容率	相對電容率
相繞組	相繞組
相間距離	相間距離
相間淨距	相間淨距
相間過電壓標麽值	相間過電壓標幺值
相間間隔器	相間間隔棒
屏蔽法	盾構法
砌石壩	砌石壩
突然短路機械強度驗證	突然短路機械強度試驗
突變量繼電器	突變量繼電器
耐火材料	耐火材料
耐火混凝土	耐火混凝土
耐汙絕緣子	耐汙絕緣子
耐受概率	耐受概率
耐張絕緣子串	耐張絕緣子串
耐張絕緣子串組	耐張絕緣子串組
背靠背同步起動	背靠背同步啓動
背靠背換流站	背靠背換流站
背壓	背壓
背壓式汽輪機	背壓式汽輪機
背壓式汽輪機調速係統	背壓式汽輪機調節係統
纖電流	致顫電流
範德瓦耳斯狀態方程式	範德瓦耳斯方程
英熱單位	英熱單位
虹吸式溢洪道	虹吸式溢洪道
重力式基礎	重力式基礎
重力侵蝕	重力侵蝕
重力拱壩	重力拱壩
重力墩	重力墩
重力壩	重力壩
垂直檔距	重力檔距
重水反應器	重水反應堆
重水反應器重水收集係統	重水堆重水收集係統
重水反應器重水淨化與升級	重水堆重水淨化與升級
重水式反應器壓力槽	重水堆排管容器
重水反應器緩和劑係統	重水堆慢化劑係統
重水反應器更換燃料係統	重水堆燃料裝卸係統
重水反應器壓力管	重水堆壓力管
重水反應器更換燃料機	重水堆裝卸料機
重冰區	重冰區
不成功復閉	重合失敗
重合時間	重合時間
復閉過電壓	重合閘過電壓
重金屬汙染	重金屬汙染
重型燃氣輪機	重型燃氣輪機
緊要廠用水係統	重要廠用水係統
再襲	重擊穿
重現期	重現期
重油	重質燃料油
導葉終端擋板	限位塊
限制區	限制區
限定時段電價	限定時段電價
限流保險絲	限流式熔斷器
流量限制器	限流器
沈澱	降水
降壓起動	降低電壓啓動
降阻劑	降阻劑
降雨強度	降雨強度
降壓變壓器	降壓變壓器
限額狀態	降額狀態
面式減溫器	面式減溫器
面板堆石壩	面板堆石壩
表面電荷密度	面電荷密度
攝吸緊急計畫區	食入應急計劃區
食物鏈	食物鏈
先出	首出原因
第一次加載	首次裝料
複數功率	複功率
複合整流器式激磁	複合勵磁
複合薄膜	複合膜
二次點燃	複燃
零點調整	複歸
復歸值	複歸值
收回時間	複歸時間
複合頻率	複頻率
定常流動	恒定流動
恒濕無灰基	恒濕無灰基
恒濕無礦物質基	恒濕無礦物質基
倍增時間	倍增時間
三角排列	倒三角排列
倒虹管	倒虹吸管
倒料	倒料
